PLAYER_ID,SEASON,GAME_ID,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,REB,AST,STL,BLK,TOV,STOV,TEAM_POSS,PLAYER_POSS,OPP_TS,OPP_ADJ_TS,OPP_TSC,OPP_STOV,DRTG,ADJ_DRTG,LA_PACE,rDRTG,rADJ_DRTG
1628983,2025,0042400406,21.0,7,15,0,1,7,8,4,2,0,0,8,4,74.68799999999999,62.97599999999999,0.5779203926,0.5766140843,0.5270721119,0.09647310017,113.3,113.35,95.07,,
1628983,2025,0042400407,29.0,8,27,2,12,11,12,5,12,1,2,1,0,89.472,76.2624,0.5779203926,0.5766140843,0.5270721119,0.09647310017,113.3,113.35,95.07,,
201142,2019,0041800141,23.0,8,16,1,2,6,6,4,3,1,3,3,0,105.408,75.8784,0.5552159015,0.5552859994,0.510793594,0.08696723681,110.4,110.25,,0.67,0.3683333333
201142,2019,0041800142,21.0,5,8,0,1,11,12,5,5,3,1,9,5,105.408,77.8368,0.5552159015,0.5552859994,0.510793594,0.08696723681,110.4,110.25,,0.67,0.3683333333
201142,2019,0041800143,38.0,14,23,3,10,7,8,4,7,1,1,5,2,83.9808,62.01599999999999,0.5552159015,0.5552859994,0.510793594,0.08696723681,110.4,110.25,,0.67,0.3683333333
201142,2019,0041800144,33.0,12,21,3,6,6,6,7,6,1,0,3,1,97.3056,78.2208,0.5552159015,0.5552859994,0.510793594,0.08696723681,110.4,110.25,,0.67,0.3683333333
201142,2019,0041800145,45.0,14,26,5,12,12,12,6,6,2,1,1,1,94.7328,82.25280000000001,0.5552159015,0.5552859994,0.510793594,0.08696723681,110.4,110.25,,0.67,0.3683333333
201142,2019,0041800146,50.0,15,26,6,14,14,15,6,5,1,1,4,2,96.7296,88.74239999999999,0.5552159015,0.5552859994,0.510793594,0.08696723681,110.4,110.25,,0.67,0.3683333333
201142,2019,0041800221,35.0,11,25,1,3,12,15,5,3,1,1,6,5,95.8848,86.39999999999999,0.5620898942,0.5627994684,0.5115829233,0.09872685069,110.1,110.2,,0.37,0.3183333333
201142,2019,0041800222,29.0,9,22,3,6,8,10,5,4,1,2,3,1,91.7376,84.17280000000001,0.5620898942,0.5627994684,0.5115829233,0.09872685069,110.1,110.2,,0.37,0.3183333333
201142,2019,0041800223,46.0,14,31,6,10,12,12,3,6,0,0,0,0,105.3696,97.4976,0.5620898942,0.5627994684,0.5115829233,0.09872685069,110.1,110.2,,0.37,0.3183333333
201142,2019,0041800224,34.0,12,22,2,6,8,10,7,5,1,1,3,2,98.9952,90.3552,0.5620898942,0.5627994684,0.5115829233,0.09872685069,110.1,110.2,,0.37,0.3183333333
201142,2019,0041800225,22.0,8,18,2,7,4,5,5,4,1,0,5,1,92.0832,65.77919999999999,0.5620898942,0.5627994684,0.5115829233,0.09872685069,110.1,110.2,,0.37,0.3183333333
201142,2019,0041800405,11.0,3,5,3,3,2,2,2,0,0,1,1,1,94.2336,24.192,0.5446402738,0.5453226137,0.495109643,0.1000397217,106.8,107.15,,-2.93,-2.731666667
201142,2021,0042000111,32.0,10,25,1,8,11,12,12,1,1,1,4,2,94.3872,78.1824,0.5770328802,0.5764805783,0.5257156669,0.09761400797,111.8,111.85,,0.1033333333,0.09666666667
201142,2021,0042000112,26.0,8,12,2,2,8,8,8,5,1,4,4,2,81.2928,61.3632,0.5770328802,0.5764805783,0.5257156669,0.09761400797,111.8,111.85,,0.1033333333,0.09666666667
201142,2021,0042000113,39.0,13,24,4,9,9,12,9,1,4,1,3,2,92.7744,81.2544,0.5770328802,0.5764805783,0.5257156669,0.09761400797,111.8,111.85,,0.1033333333,0.09666666667
201142,2021,0042000114,42.0,14,20,3,3,11,11,4,5,1,2,1,1,90.5472,78.06719999999999,0.5770328802,0.5764805783,0.5257156669,0.09761400797,111.8,111.85,,0.1033333333,0.09666666667
201142,2021,0042000115,24.0,8,16,4,6,4,4,4,3,0,3,2,1,93.12,73.1904,0.5770328802,0.5764805783,0.5257156669,0.09761400797,111.8,111.85,,0.1033333333,0.09666666667
201142,2021,0042000211,29.0,12,25,1,4,4,4,10,3,1,2,3,2,97.8816,84.97919999999999,0.5647486954,0.5656070536,0.5250893769,0.07552870091,110.7,111.2,,-0.9966666667,-0.5533333333
201142,2021,0042000212,32.0,12,18,4,6,4,5,4,6,1,1,3,2,73.152,61.632,0.5647486954,0.5656070536,0.5250893769,0.07552870091,110.7,111.2,,-0.9966666667,-0.5533333333
201142,2021,0042000213,30.0,11,28,3,8,5,6,10,5,4,1,4,4,94.5792,85.9392,0.5647486954,0.5656070536,0.5250893769,0.07552870091,110.7,111.2,,-0.9966666667,-0.5533333333
201142,2021,0042000214,28.0,9,25,1,8,9,10,13,5,1,1,5,4,94.0032,88.3584,0.5647486954,0.5656070536,0.5250893769,0.07552870091,110.7,111.2,,-0.9966666667,-0.5533333333
201142,2021,0042000215,49.0,16,23,4,9,13,16,17,10,3,2,3,2,91.2,91.2,0.5647486954,0.5656070536,0.5250893769,0.07552870091,110.7,111.2,,-0.9966666667,-0.5533333333
977,2003,0040200221,37.0,16,38,3,4,2,2,4,2,0,0,5,3,95.3088,88.58879999999999,0.4962985183,0.4962042066,0.445739138,0.1134281827,98.1,98.0,90.59,-4.05862069,-4.317241379
977,2003,0040200222,24.0,8,23,1,5,7,10,5,1,0,0,4,4,80.2176,69.6576,0.4962985183,0.4962042066,0.445739138,0.1134281827,98.1,98.0,90.59,-4.05862069,-4.317241379
